... loading data
... building the model
... training the model
epoch 1, minibatch 66/66, validation error 88.125000 %
	 epoch 1, minibatch 66/66, test error of best model 88.166667 %
epoch 2, minibatch 66/66, validation error 78.645833 %
	 epoch 2, minibatch 66/66, test error of best model 78.250000 %
epoch 3, minibatch 66/66, validation error 78.406250 %
	 epoch 3, minibatch 66/66, test error of best model 78.125000 %
epoch 4, minibatch 66/66, validation error 85.291667 %
epoch 5, minibatch 66/66, validation error 75.447917 %
	 epoch 5, minibatch 66/66, test error of best model 75.500000 %
epoch 6, minibatch 66/66, validation error 80.385417 %
epoch 7, minibatch 66/66, validation error 80.458333 %
epoch 8, minibatch 66/66, validation error 77.385417 %
epoch 9, minibatch 66/66, validation error 79.218750 %
epoch 10, minibatch 66/66, validation error 73.083333 %
	 epoch 10, minibatch 66/66, test error of best model 72.093750 %
epoch 11, minibatch 66/66, validation error 74.947917 %
epoch 12, minibatch 66/66, validation error 76.000000 %
epoch 13, minibatch 66/66, validation error 77.187500 %
epoch 14, minibatch 66/66, validation error 80.312500 %
epoch 15, minibatch 66/66, validation error 74.739583 %
epoch 16, minibatch 66/66, validation error 77.166667 %
epoch 17, minibatch 66/66, validation error 76.427083 %
epoch 18, minibatch 66/66, validation error 77.218750 %
epoch 19, minibatch 66/66, validation error 73.427083 %
epoch 20, minibatch 66/66, validation error 77.093750 %
epoch 21, minibatch 66/66, validation error 75.718750 %
epoch 22, minibatch 66/66, validation error 77.447917 %
epoch 23, minibatch 66/66, validation error 71.020833 %
	 epoch 23, minibatch 66/66, test error of best model 70.604167 %
epoch 24, minibatch 66/66, validation error 74.854167 %
epoch 25, minibatch 66/66, validation error 81.406250 %
epoch 26, minibatch 66/66, validation error 76.052083 %
epoch 27, minibatch 66/66, validation error 75.062500 %
epoch 28, minibatch 66/66, validation error 80.968750 %
epoch 29, minibatch 66/66, validation error 75.906250 %
epoch 30, minibatch 66/66, validation error 72.281250 %
epoch 31, minibatch 66/66, validation error 76.572917 %
epoch 32, minibatch 66/66, validation error 74.531250 %
epoch 33, minibatch 66/66, validation error 75.802083 %
epoch 34, minibatch 66/66, validation error 73.093750 %
epoch 35, minibatch 66/66, validation error 74.760417 %
epoch 36, minibatch 66/66, validation error 74.270833 %
epoch 37, minibatch 66/66, validation error 79.802083 %
epoch 38, minibatch 66/66, validation error 68.218750 %
	 epoch 38, minibatch 66/66, test error of best model 68.218750 %
epoch 39, minibatch 66/66, validation error 81.427083 %
epoch 40, minibatch 66/66, validation error 72.135417 %
epoch 41, minibatch 66/66, validation error 74.281250 %
epoch 42, minibatch 66/66, validation error 74.947917 %
epoch 43, minibatch 66/66, validation error 72.541667 %
epoch 44, minibatch 66/66, validation error 77.260417 %
epoch 45, minibatch 66/66, validation error 74.458333 %
epoch 46, minibatch 66/66, validation error 78.510417 %
epoch 47, minibatch 66/66, validation error 73.791667 %
epoch 48, minibatch 66/66, validation error 74.229167 %
epoch 49, minibatch 66/66, validation error 76.416667 %
epoch 50, minibatch 66/66, validation error 72.593750 %
epoch 51, minibatch 66/66, validation error 71.270833 %
epoch 52, minibatch 66/66, validation error 72.020833 %
epoch 53, minibatch 66/66, validation error 78.385417 %
epoch 54, minibatch 66/66, validation error 76.614583 %
epoch 55, minibatch 66/66, validation error 75.447917 %
epoch 56, minibatch 66/66, validation error 73.760417 %
epoch 57, minibatch 66/66, validation error 75.614583 %
epoch 58, minibatch 66/66, validation error 81.739583 %
epoch 59, minibatch 66/66, validation error 72.385417 %
epoch 60, minibatch 66/66, validation error 73.125000 %
epoch 61, minibatch 66/66, validation error 75.791667 %
epoch 62, minibatch 66/66, validation error 74.052083 %
epoch 63, minibatch 66/66, validation error 72.354167 %
epoch 64, minibatch 66/66, validation error 78.041667 %
epoch 65, minibatch 66/66, validation error 79.229167 %
epoch 66, minibatch 66/66, validation error 74.229167 %
epoch 67, minibatch 66/66, validation error 70.145833 %
epoch 68, minibatch 66/66, validation error 69.916667 %
epoch 69, minibatch 66/66, validation error 75.072917 %
epoch 70, minibatch 66/66, validation error 77.020833 %
epoch 71, minibatch 66/66, validation error 76.385417 %
epoch 72, minibatch 66/66, validation error 73.135417 %
epoch 73, minibatch 66/66, validation error 78.604167 %
^[[Bepoch 74, minibatch 66/66, validation error 78.125000 %
epoch 75, minibatch 66/66, validation error 71.052083 %
Optimization complete with best validation score of 68.218750 %,with test performance 68.218750 % (error)
The code run for 76 epochs, with 0.614521 epochs/sec
The code for file logistic_sgd.py ran for 123.7s
